Material,Wood
Geometry,Rectangular
Width,"17.75460",mm
Thickness,"1.60020",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"39.30000","0.58246","1,987.13171"
"39.40000","0.58400","1,993.78943"
"39.50000","0.58545","1,999.16528"
"39.60000","0.58681","2,004.98792"
"39.70000","0.58826","2,010.42224"
"39.80000","0.58980","2,016.76355"
"39.90000","0.59151","2,023.89331"
"40.00000","0.59288","2,029.67395"
"40.10000","0.59424","2,034.91968"
"40.20000","0.59552","2,039.73914"
"40.30000","0.59706","2,045.45972"
"40.40000","0.59877","2,052.51514"
"40.50000","0.60039","2,059.85352"
"40.60000","0.60184","2,065.70605"
"40.70000","0.60321","2,070.84839"
"40.80000","0.60457","2,076.31860"
"40.90000","0.60602","2,081.91602"
"41.00000","0.60756","2,088.30957"
"41.10000","0.60910","2,094.47705"
"41.20000","0.61046","2,092.71606"
"41.30000","0.61183","2,097.51660"
"41.40000","0.61345","2,104.29321"
"41.50000","0.61516","2,111.51685"
"41.60000","0.61661","2,118.09741"
"41.70000","0.61806","2,123.68848"
"41.80000","0.61934","2,129.04395"
"41.90000","0.62079","2,134.36499"
"42.00000","0.62250","2,141.63208"
"42.10000","0.62412","2,148.49683"
"42.20000","0.62549","2,154.11426"
"42.30000","0.62677","2,159.10645"
"42.40000","0.62805","2,163.83105"
"42.50000","0.62959","2,169.75610"
"42.60000","0.63138","2,177.10376"
"42.70000","0.63300","2,184.26733"
"42.80000","0.63437","2,189.92285"
"42.90000","0.63582","2,194.63696"
"43.00000","0.63719","2,199.88135"
"43.10000","0.63864","2,200.97217"
"43.20000","0.64018","2,207.15430"
"43.30000","0.64163","2,213.30322"
"43.40000","0.64299","2,219.12988"
"43.50000","0.64444","2,224.19727"
"43.60000","0.64607","2,231.05396"
"43.70000","0.64769","2,238.06787"
"43.80000","0.64923","2,244.58203"
"43.90000","0.65059","2,250.20264"
"44.00000","0.65196","2,255.55908"
"44.10000","0.65341","2,260.80249"
"44.20000","0.65503","2,267.58813"
"44.30000","0.65674","2,274.60474"
"44.40000","0.65802","2,280.18457"
"44.50000","0.65939","2,285.29810"
"44.60000","0.66067","2,290.15063"
"44.70000","0.66220","2,296.11011"
"44.80000","0.66391","2,303.12769"
"44.90000","0.66562","2,310.68823"
"45.00000","0.66698","2,316.21045"
"45.10000","0.66844","2,321.43921"
"45.20000","0.66980","2,327.07520"
"45.30000","0.67125","2,332.54590"
"45.40000","0.67279","2,338.58398"
"45.50000","0.67424","2,344.49365"
"45.60000","0.67561","2,349.81055"
"45.70000","0.67706","2,355.42725"
"45.80000","0.67860","2,361.55151"
"45.90000","0.68030","2,368.19604"
"46.00000","0.68184","2,374.67554"
"46.10000","0.68321","2,379.94409"
"46.20000","0.68457","2,385.52905"
"46.30000","0.68602","2,390.77075"
"46.40000","0.68756","2,396.52734"
"46.50000","0.68918","2,403.39453"
"46.60000","0.69063","2,409.22144"
"46.70000","0.69192","2,414.10083"
"46.80000","0.69320","2,418.77637"
"46.90000","0.69473","2,424.24536"
"47.00000","0.69661","2,431.96753"
"47.10000","0.69823","2,439.18848"
"47.20000","0.69960","2,444.24902"
"47.30000","0.70097","2,449.52490"
"47.40000","0.70242","2,455.04517"
"47.50000","0.70378","2,460.22290"
"47.60000","0.70541","2,466.39990"
