Material,Steel
Geometry,Rectangular
Width,"0.12700",mm
Thickness,"12.75080",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"59.00000","0.99928","2,243.36353"
"59.10000","1.00090","2,245.45605"
"59.20000","1.00253","2,247.47534"
"59.30000","1.00432","2,250.01929"
"59.40000","1.00620","2,252.52295"
"59.50000","1.00782","2,254.78345"
"59.60000","1.00936","2,256.33643"
"59.70000","1.01098","2,258.10693"
"59.80000","1.01286","2,260.57104"
"59.90000","1.01473","2,263.37305"
"60.00000","1.01627","2,264.99658"
"60.10000","1.01772","2,266.52246"
"60.20000","1.01926","2,268.09302"
"60.30000","1.02122","2,270.78662"
"60.40000","1.02327","2,273.78003"
"60.50000","1.02481","2,275.28369"
"60.60000","1.02635","2,276.78882"
"60.70000","1.02797","2,278.48975"
"60.80000","1.02976","2,280.61255"
"60.90000","1.03147","2,282.86450"
"61.00000","1.03309","2,284.56763"
"61.10000","1.03463","2,285.87305"
"61.20000","1.03642","2,287.83203"
"61.30000","1.03838","2,290.50952"
"61.40000","1.04001","2,292.26978"
"61.50000","1.04163","2,293.71875"
"61.60000","1.04325","2,295.24561"
"61.70000","1.04496","2,297.07080"
"61.80000","1.04684","2,299.33936"
"61.90000","1.04846","2,301.01221"
"62.00000","1.04991","2,302.05811"
"62.10000","1.05145","2,303.27954"
"62.20000","1.05341","2,305.36450"
"62.30000","1.05538","2,308.20532"
"62.40000","1.05700","2,309.65039"
"62.50000","1.05853","2,310.63843"
"62.60000","1.06007","2,311.88184"
"62.70000","1.06186","2,313.62524"
"62.80000","1.06366","2,315.36377"
"62.90000","1.06528","2,316.94604"
"63.00000","1.06690","2,318.17529"
"63.10000","1.06861","2,319.59326"
"63.20000","1.07049","2,321.96533"
"63.30000","1.07228","2,323.60669"
"63.40000","1.07382","2,324.64355"
"63.50000","1.07544","2,325.96313"
"63.60000","1.07715","2,327.46191"
"63.70000","1.07894","2,329.29541"
"63.80000","1.08065","2,330.66846"
"63.90000","1.08218","2,331.68945"
"64.00000","1.08364","2,332.50854"
"64.10000","1.08543","2,334.06934"
"64.20000","1.08756","2,336.61304"
"64.30000","1.08927","2,337.97168"
"64.40000","1.09081","2,338.92529"
"64.50000","1.09234","2,340.00366"
"64.60000","1.09405","2,341.19629"
"64.70000","1.09585","2,342.91724"
"64.80000","1.09755","2,344.40063"
"64.90000","1.09900","2,345.09912"
"65.00000","1.10071","2,346.34082"
"65.10000","1.10268","2,348.36157"
"65.20000","1.10447","2,349.73486"
"65.30000","1.10601","2,350.61768"
"65.40000","1.10763","2,351.57593"
"65.50000","1.10934","2,352.85840"
"65.60000","1.11121","2,354.64233"
"65.70000","1.11275","2,355.70996"
"65.80000","1.11437","2,356.66772"
"65.90000","1.11582","2,357.08740"
"66.00000","1.11753","2,358.46558"
"66.10000","1.11967","2,360.70337"
"66.20000","1.12137","2,362.15674"
"66.30000","1.12300","2,362.78662"
"66.40000","1.12453","2,363.51221"
"66.50000","1.12616","2,364.45190"
"66.60000","1.12795","2,365.81201"
"66.70000","1.12974","2,367.11035"
"66.80000","1.13119","2,367.84570"
"66.90000","1.13290","2,368.61426"
"67.00000","1.13478","2,370.48462"
"67.10000","1.13657","2,372.04272"
"67.20000","1.13819","2,372.75122"
"67.30000","1.13982","2,373.56250"
"67.40000","1.14144","2,374.53003"
"67.50000","1.14323","2,375.86987"
"67.60000","1.14511","2,377.29712"
"67.70000","1.14656","2,377.84204"
"67.80000","1.14810","2,378.43945"
