Specimen choice input : Material,Steel
Specimen properties : Geometry,Rectangular
Specimen properties : Width,"13.03000",mm
Specimen properties : Thickness,"3.57000",mm

Time,Extension,Load
(s),(mm),(N)
"40.40000","-1.66490","516.07617"
"40.50000","-1.66456","517.28784"
"40.60000","-1.66405","518.53589"
"40.70000","-1.66362","519.82867"
"40.80000","-1.66319","521.06494"
"40.90000","-1.66277","522.33636"
"41.00000","-1.66234","523.58215"
"41.10000","-1.66191","524.91547"
"41.20000","-1.66148","526.15015"
"41.30000","-1.66106","527.42993"
"41.40000","-1.66063","528.68286"
"41.50000","-1.66020","529.90070"
"41.60000","-1.65978","531.19061"
"41.70000","-1.65935","532.44775"
"41.80000","-1.65892","533.67407"
"41.90000","-1.65850","534.88782"
"42.00000","-1.65807","536.14996"
"42.10000","-1.65764","537.37817"
"42.20000","-1.65722","538.58081"
"42.30000","-1.65687","539.80853"
"42.40000","-1.65645","541.05652"
"42.50000","-1.65602","542.29523"
"42.60000","-1.65559","543.54645"
"42.70000","-1.65517","544.82684"
"42.80000","-1.65474","546.11053"
"42.90000","-1.65431","547.36127"
"43.00000","-1.65389","548.64081"
"43.10000","-1.65346","549.89972"
"43.20000","-1.65303","551.16016"
"43.30000","-1.65260","552.41254"
"43.40000","-1.65218","553.67078"
"43.50000","-1.65175","554.91284"
"43.60000","-1.65132","556.18726"
"43.70000","-1.65090","557.44208"
"43.80000","-1.65047","558.67444"
"43.90000","-1.65004","559.92206"
"44.00000","-1.64970","561.14343"
"44.10000","-1.64927","562.37866"
"44.20000","-1.64885","563.61847"
"44.30000","-1.64842","564.89362"
"44.40000","-1.64799","566.16364"
"44.50000","-1.64757","567.40906"
"44.60000","-1.64714","568.68585"
"44.70000","-1.64671","569.91901"
"44.80000","-1.64629","571.18591"
"44.90000","-1.64586","572.44653"
"45.00000","-1.64543","573.66907"
"45.10000","-1.64501","574.97565"
"45.20000","-1.64466","576.22662"
"45.30000","-1.64424","577.47614"
"45.40000","-1.64381","578.70996"
"45.50000","-1.64338","579.98828"
"45.60000","-1.64296","581.23895"
"45.70000","-1.64253","582.48242"
"45.80000","-1.64210","583.71783"
"45.90000","-1.64176","584.94092"
"46.00000","-1.64125","586.13019"
"46.10000","-1.64091","587.44830"
"46.20000","-1.64048","588.70508"
"46.30000","-1.64005","589.95465"
"46.40000","-1.63963","591.21570"
"46.50000","-1.63920","592.47131"
"46.60000","-1.63877","593.71851"
"46.70000","-1.63835","594.99951"
"46.80000","-1.63801","596.24304"
"46.90000","-1.63758","597.50830"
"47.00000","-1.63715","598.77118"
"47.10000","-1.63672","600.01819"
"47.20000","-1.63630","601.32281"
"47.30000","-1.63587","602.53430"
"47.40000","-1.63544","603.79962"
"47.50000","-1.63510","605.03162"
"47.60000","-1.63468","606.30347"
"47.70000","-1.63425","607.53613"
"47.80000","-1.63382","608.76471"
"47.90000","-1.63339","610.01434"
"48.00000","-1.63305","611.24506"
"48.10000","-1.63263","612.49078"
"48.20000","-1.63220","613.71436"
"48.30000","-1.63177","614.94592"
"48.40000","-1.63135","616.22363"
"48.50000","-1.63092","617.49341"
"48.60000","-1.63049","618.76385"
"48.70000","-1.63006","620.03314"
"48.80000","-1.62964","621.29224"
"48.90000","-1.62930","622.55499"
"49.00000","-1.62887","623.85242"
"49.10000","-1.62844","625.09668"
"49.20000","-1.62802","626.37140"
"49.30000","-1.62759","627.58618"
"49.40000","-1.62716","628.83063"
"49.50000","-1.62673","630.10706"
"49.60000","-1.62639","631.35199"
"49.70000","-1.62597","632.54523"
"49.80000","-1.62554","633.78400"
"49.90000","-1.62520","635.04468"
"50.00000","-1.62477","636.24463"
"50.10000","-1.62434","637.46112"
"50.20000","-1.62392","638.73187"
"50.30000","-1.62358","639.99927"
"50.40000","-1.62315","641.24567"
"50.50000","-1.62272","642.49438"
"50.60000","-1.62230","643.76855"
"50.70000","-1.62187","645.06384"
"50.80000","-1.62144","646.31750"
"50.90000","-1.62101","647.55884"
"51.00000","-1.62067","648.81769"
"51.10000","-1.62025","650.07098"
"51.20000","-1.61982","651.32690"
"51.30000","-1.61939","652.58636"
"51.40000","-1.61897","653.85388"
"51.50000","-1.61862","655.12488"
"51.60000","-1.61820","656.36926"
"51.70000","-1.61777","657.58569"
"51.80000","-1.61734","658.85809"
"51.90000","-1.61700","660.06946"
"52.00000","-1.61657","661.28107"
"52.10000","-1.61615","662.58228"
"52.20000","-1.61572","663.82812"
"52.30000","-1.61529","665.07959"
"52.40000","-1.61487","666.32782"
"52.50000","-1.61453","667.57965"
"52.60000","-1.61410","668.84583"
"52.70000","-1.61367","670.09161"
"52.80000","-1.61324","671.37061"
"52.90000","-1.61282","672.63666"
"53.00000","-1.61248","673.88934"
"53.10000","-1.61205","675.14539"
"53.20000","-1.61162","676.39636"
"53.30000","-1.61120","677.60999"
"53.40000","-1.61085","678.88434"
"53.50000","-1.61043","680.13306"
"53.60000","-1.61000","681.40564"
"53.70000","-1.60957","682.63232"
"53.80000","-1.60923","683.86353"
"53.90000","-1.60881","685.09229"
"54.00000","-1.60838","686.36365"
"54.10000","-1.60795","687.59045"
"54.20000","-1.60752","688.87622"
"54.30000","-1.60718","690.13770"
"54.40000","-1.60676","691.34637"
"54.50000","-1.60633","692.62653"
"54.60000","-1.60590","693.91174"
"54.70000","-1.60556","695.16736"
"54.80000","-1.60513","696.41656"
"54.90000","-1.60471","697.69324"
"55.00000","-1.60428","698.96539"
"55.10000","-1.60385","700.19879"
"55.20000","-1.60351","701.43127"
"55.30000","-1.60308","702.72260"
"55.40000","-1.60266","703.93634"
"55.50000","-1.60232","705.24036"
"55.60000","-1.60189","706.44476"
"55.70000","-1.60146","707.71954"
"55.80000","-1.60104","708.93494"
"55.90000","-1.60069","710.18964"
"56.00000","-1.60027","711.38501"
"56.10000","-1.59984","712.64923"
"56.20000","-1.59950","713.91724"
"56.30000","-1.59907","715.15588"
"56.40000","-1.59864","716.38507"
"56.50000","-1.59822","717.69281"
"56.60000","-1.59788","718.95703"
"56.70000","-1.59745","720.19751"
"56.80000","-1.59702","721.49835"
"56.90000","-1.59660","722.71814"
"57.00000","-1.59617","724.00854"
"57.10000","-1.59574","725.24261"
"57.20000","-1.59540","726.50830"
"57.30000","-1.59497","727.76837"
"57.40000","-1.59455","729.01758"
"57.50000","-1.59421","730.25488"
"57.60000","-1.59378","731.51947"
"57.70000","-1.59335","732.74261"
"57.80000","-1.59301","733.96405"
"57.90000","-1.59258","735.19385"
"58.00000","-1.59224","736.42639"
"58.10000","-1.59181","737.67065"
"58.20000","-1.59139","738.91046"
"58.30000","-1.59096","740.14557"
"58.40000","-1.59062","741.42108"
"58.50000","-1.59019","742.70502"
"58.60000","-1.58977","743.94263"
"58.70000","-1.58934","745.20825"
"58.80000","-1.58900","746.47113"
"58.90000","-1.58857","747.74963"
"59.00000","-1.58814","748.98309"
"59.10000","-1.58772","750.26215"
"59.20000","-1.58737","751.50629"
"59.30000","-1.58695","752.77826"
"59.40000","-1.58652","754.02948"
"59.50000","-1.58618","755.28784"
"59.60000","-1.58575","756.55444"
"59.70000","-1.58533","757.77118"
"59.80000","-1.58490","759.02258"
"59.90000","-1.58456","760.25916"
"60.00000","-1.58413","761.46259"
"60.10000","-1.58370","762.76123"
"60.20000","-1.58336","763.98999"
"60.30000","-1.58294","765.25256"
"60.40000","-1.58251","766.49567"
"60.50000","-1.58208","767.76013"
"60.60000","-1.58174","768.99493"
"60.70000","-1.58131","770.26343"
"60.80000","-1.58089","771.58136"
"60.90000","-1.58046","772.77185"
"61.00000","-1.58012","774.06934"
"61.10000","-1.57969","775.30475"
"61.20000","-1.57926","776.59131"
"61.30000","-1.57892","777.85028"
"61.40000","-1.57850","779.05603"
"61.50000","-1.57815","780.34570"
"61.60000","-1.57773","781.56018"
"61.70000","-1.57730","782.80316"
"61.80000","-1.57687","784.05389"
"61.90000","-1.57653","785.29535"
"62.00000","-1.57610","786.55035"
"62.10000","-1.57568","787.77625"
"62.20000","-1.57534","789.00568"
"62.30000","-1.57491","790.30157"
"62.40000","-1.57448","791.53821"
"62.50000","-1.57414","792.80469"
"62.60000","-1.57371","794.07910"
"62.70000","-1.57329","795.31262"
"62.80000","-1.57295","796.59204"
"62.90000","-1.57252","797.88818"
"63.00000","-1.57209","799.13788"
"63.10000","-1.57175","800.37433"
"63.20000","-1.57132","801.62018"
"63.30000","-1.57090","802.86487"
"63.40000","-1.57047","804.15173"
"63.50000","-1.57013","805.36517"
"63.60000","-1.56970","806.63757"
"63.70000","-1.56927","807.85229"
"63.80000","-1.56893","809.10767"
"63.90000","-1.56851","810.33026"
"64.00000","-1.56816","811.58215"
"64.10000","-1.56774","812.83783"
"64.20000","-1.56731","814.04681"
"64.30000","-1.56697","815.31323"
"64.40000","-1.56654","816.55377"
