Material,Steel,
Geometry,Rectangular,
Width,3.502,mm
Thickness,2.49,mm
Length,50.8,mm
,,
Time,Extension,Load
(s),(mm),(N)
90.00,1.52394,2251.63
90.10,1.52573,2253.5
90.20,1.52752,2255.47
90.30,1.52906,2254.79
90.40,1.5306,2253.93
90.50,1.53248,2256.25
90.60,1.53435,2259.14
90.70,1.53598,2258.63
90.80,1.5376,2257.63
90.90,1.53931,2256.85
91.00,1.5411,2257.91
91.10,1.54281,2258.9
91.20,1.54434,2258.07
91.30,1.54588,2256.77
91.40,1.54742,2256.63
91.50,1.54938,2260.51
91.60,1.55143,2264.31
91.70,1.55297,2263.4
91.80,1.5545,2261.97
91.90,1.55613,2261.9
92.00,1.55783,2263.67
92.10,1.55963,2265.68
92.20,1.56125,2265.84
92.30,1.56279,2265.21
92.40,1.56458,2266.87
92.50,1.56646,2268.85
92.60,1.56825,2270.32
92.70,1.56979,2269.17
92.80,1.57132,2268.66
92.90,1.57312,2270.3
93.00,1.575,2272.64
93.10,1.57662,2272.94
93.20,1.57815,2271.74
93.30,1.57961,2270.79
93.40,1.58148,2273.12
93.50,1.58353,2277.99
93.60,1.58516,2276.84
93.70,1.58669,2274.91
93.80,1.58823,2274.48
93.90,1.59002,2276.2
94.00,1.59181,2278.33
94.10,1.59352,2279.23
94.20,1.59497,2278.21
94.30,1.59668,2278.81
94.40,1.59864,2281.62
94.50,1.60044,2283.4
94.60,1.60197,2281.94
94.70,1.6036,2281.63
94.80,1.6053,2282.83
94.90,1.60718,2284.87
95.00,1.60881,2285.89
95.10,1.61034,2284.37
95.20,1.61171,2283.06
95.30,1.61359,2284.9
95.40,1.61564,2289.5
95.50,1.61743,2290.07
95.60,1.61888,2288.32
95.70,1.62042,2287.2
95.80,1.62221,2288.75
95.90,1.624,2290.57
96.00,1.62571,2291.65
96.10,1.62716,2290.51
96.20,1.62887,2290.8
96.30,1.63075,2293.37
96.40,1.63263,2295.68
96.50,1.63416,2293.99
96.60,1.63579,2293.87
96.70,1.63741,2294.48
96.80,1.63929,2296.37
96.90,1.64099,2297.74
97.00,1.64253,2296.77
97.10,1.64398,2295.39
97.20,1.64569,2296.32
97.30,1.64774,2300.9
97.40,1.64962,2302.97
97.50,1.65115,2301.31
97.60,1.65269,2299.55
97.70,1.6544,2298.53
97.80,1.65611,2299.07
97.90,1.6579,2300.49
98.00,1.65944,2300.23
98.10,1.66097,2299.81
98.20,1.66294,2303.94
98.30,1.66481,2306.76
98.40,1.66635,2305.38
98.50,1.66797,2305.31
