Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Width,7.091,mm
Thickness,7.091,mm
,,
Time,Extension,Load
(s),(mm),(N)
67.6,0.28,1826.55
67.7,0.28,1829.36
67.8,0.28,1832.18
67.9,0.28,1834.72
68,0.28,1837.37
68.1,0.28,1840.09
68.2,0.28,1842.85
68.3,0.28,1845.77
68.4,0.28,1848.15
68.5,0.28,1850.87
68.6,0.28,1853.58
68.7,0.28,1856.16
68.8,0.28,1858.66
68.9,0.28,1861.72
69,0.28,1864.47
69.1,0.28,1866.98
69.2,0.28,1869.44
69.3,0.28,1872.37
69.4,0.28,1875.12
69.5,0.28,1877.96
69.6,0.28,1880.28
69.7,0.28,1882.94
69.8,0.29,1886.14
69.9,0.29,1888.47
70,0.29,1891.13
70.1,0.29,1893.6
70.2,0.29,1896.57
70.3,0.29,1899.06
70.4,0.29,1901.93
70.5,0.29,1904.75
70.6,0.29,1907.24
70.7,0.29,1910.1
70.8,0.29,1912.5
70.9,0.29,1915.42
71,0.29,1917.91
71.1,0.29,1920.69
71.2,0.29,1923.37
71.3,0.29,1926.02
71.4,0.29,1928.92
71.5,0.29,1931.4
71.6,0.29,1934.27
71.7,0.29,1936.95
71.8,0.29,1939.68
71.9,0.29,1942.13
72,0.29,1944.89
72.1,0.29,1947.78
72.2,0.29,1950.37
72.3,0.29,1953
72.4,0.29,1955.66
72.5,0.29,1958.38
72.6,0.29,1961.32
72.7,0.29,1963.88
72.8,0.29,1966.2
72.9,0.29,1968.95
73,0.29,1971.88
73.1,0.29,1974.44
73.2,0.29,1977.14
73.3,0.29,1979.89
73.4,0.29,1982.45
73.5,0.3,1985.08
73.6,0.3,1987.67
73.7,0.3,1990.42
73.8,0.3,1993.5
73.9,0.3,1996.22
74,0.3,1998.65
74.1,0.3,2001.19
74.2,0.3,2004.08
74.3,0.3,2006.99
74.4,0.3,2009.34
74.5,0.3,2012.31
74.6,0.3,2014.91
74.7,0.3,2017.6
74.8,0.3,2020.14
74.9,0.3,2022.9
75,0.3,2025.48
75.1,0.3,2028.38
75.2,0.3,2030.55
75.3,0.3,2033.58
75.4,0.3,2036.68
75.5,0.3,2038.9
75.6,0.3,2041.75
75.7,0.3,2044.24
75.8,0.3,2047.25
75.9,0.3,2049.84
76,0.3,2052.66
76.1,0.3,2054.95
76.2,0.3,2057.9
76.3,0.3,2060.53
76.4,0.3,2063.14
76.5,0.3,2065.75
76.6,0.3,2068.29
76.7,0.3,2071.41
76.8,0.3,2074.22
76.9,0.3,2076.55
77,0.3,2079.04
77.1,0.31,2082.08
77.2,0.31,2085
77.3,0.31,2087.33
77.4,0.31,2090.05
77.5,0.31,2092.79
77.6,0.31,2095.44
77.7,0.31,2098.16
77.8,0.31,2101.18
77.9,0.31,2103.79
78,0.31,2106.43
78.1,0.31,2108.76
78.2,0.31,2111.72
78.3,0.31,2114.78
78.4,0.31,2117.02
78.5,0.31,2119.66
78.6,0.31,2122.57
78.7,0.31,2124.91
78.8,0.31,2127.71
78.9,0.31,2130.6
79,0.31,2133.08
79.1,0.31,2135.76
79.2,0.31,2138.39
79.3,0.31,2141.21
79.4,0.31,2143.71
79.5,0.31,2146.51
79.6,0.31,2149.03
79.7,0.31,2151.8
79.8,0.31,2154.93
79.9,0.31,2157.24
80,0.31,2160.19
80.1,0.31,2162.72
80.2,0.31,2165.4
80.3,0.31,2167.82
80.4,0.31,2170.95
80.5,0.31,2173.81
80.6,0.31,2176.08
80.7,0.31,2178.65
80.8,0.32,2181.41
80.9,0.32,2184.25
81,0.32,2187.13
81.1,0.32,2189.71
81.2,0.32,2192.52
81.3,0.32,2194.88
81.4,0.32,2197.45
81.5,0.32,2200.44
81.6,0.32,2203.2
81.7,0.32,2205.74
81.8,0.32,2208.25
81.9,0.32,2211.11
82,0.32,2213.84
