Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Specimen properties : Width,13,mm
Specimen properties : Thickness,3.58,mm
,,
Time,Extension,Load
(s),(mm),(N)
82.7,-1.28342,1048.25
82.8,-1.28283,1049.52
82.9,-1.28223,1050.80
83,-1.28155,1052.04
83.1,-1.28095,1053.28
83.2,-1.28035,1054.58
83.3,-1.27967,1055.85
83.4,-1.27907,1057.11
83.5,-1.27839,1058.41
83.6,-1.27779,1059.68
83.7,-1.27719,1060.93
83.8,-1.27651,1062.13
83.9,-1.27591,1063.38
84,-1.27523,1064.59
84.1,-1.27472,1065.86
84.2,-1.27403,1067.09
84.3,-1.27335,1068.30
84.4,-1.27275,1069.61
84.5,-1.27207,1070.88
84.6,-1.27147,1072.23
84.7,-1.27079,1073.45
84.8,-1.27019,1074.76
84.9,-1.26951,1075.97
85,-1.26882,1077.25
85.1,-1.26823,1078.50
85.2,-1.26754,1079.70
85.3,-1.26695,1080.94
85.4,-1.26626,1082.09
85.5,-1.26567,1083.35
85.6,-1.26498,1084.56
85.7,-1.2643,1085.90
85.8,-1.26362,1087.18
85.9,-1.26293,1088.48
86,-1.26225,1089.79
86.1,-1.26157,1091.03
86.2,-1.26097,1092.31
86.3,-1.26029,1093.54
86.4,-1.2596,1094.79
86.5,-1.25892,1095.94
86.6,-1.25824,1097.22
86.7,-1.25755,1098.48
86.8,-1.25696,1099.75
86.9,-1.25619,1101.04
87,-1.2555,1102.30
87.1,-1.25482,1103.61
87.2,-1.25405,1104.87
87.3,-1.25346,1106.17
87.4,-1.25269,1107.36
87.5,-1.25209,1108.64
87.6,-1.25132,1109.79
87.7,-1.25064,1111.08
87.8,-1.24996,1112.34
87.9,-1.24919,1113.55
88,-1.2485,1114.83
88.1,-1.24774,1116.08
88.2,-1.24705,1117.42
88.3,-1.24628,1118.66
88.4,-1.24569,1119.98
88.5,-1.24492,1121.23
88.6,-1.24415,1122.47
88.7,-1.24347,1123.69
88.8,-1.2427,1124.89
88.9,-1.2421,1126.17
89,-1.24133,1127.35
89.1,-1.24065,1128.63
89.2,-1.23988,1129.94
89.3,-1.23911,1131.22
89.4,-1.23834,1132.53
89.5,-1.23758,1133.79
89.6,-1.23689,1135.07
89.7,-1.23604,1136.26
89.8,-1.23536,1137.51
89.9,-1.23459,1138.68
90,-1.2339,1139.93
90.1,-1.23314,1141.10
90.2,-1.23245,1142.39
90.3,-1.23168,1143.69
90.4,-1.23083,1144.96
90.5,-1.23015,1146.30
90.6,-1.22929,1147.57
90.7,-1.22853,1148.84
90.8,-1.22776,1150.08
90.9,-1.22699,1151.30
91,-1.22622,1152.51
91.1,-1.22545,1153.79
91.2,-1.22468,1155.06
91.3,-1.22391,1156.29
91.4,-1.22315,1157.61
91.5,-1.22229,1158.86
91.6,-1.22152,1160.21
91.7,-1.22067,1161.43
91.8,-1.2199,1162.67
91.9,-1.21913,1163.87
92,-1.21828,1165.06
92.1,-1.21751,1166.33
92.2,-1.21666,1167.54
92.3,-1.21589,1168.87
92.4,-1.21504,1170.13
92.5,-1.21427,1171.48
92.6,-1.21341,1172.72
92.7,-1.21264,1174.05
92.8,-1.21171,1175.24
92.9,-1.21094,1176.48
93,-1.21008,1177.68
93.1,-1.20931,1178.87
93.2,-1.20846,1180.13
93.3,-1.20761,1181.38
93.4,-1.20675,1182.77
93.5,-1.2059,1184.02
93.6,-1.20505,1185.37
93.7,-1.20419,1186.58
93.8,-1.20334,1187.79
93.9,-1.20248,1189.01
94,-1.20163,1190.16
94.1,-1.20086,1191.37
94.2,-1.19992,1192.62
94.3,-1.19907,1193.96
94.4,-1.19813,1195.19
94.5,-1.19728,1196.57
94.6,-1.19642,1197.85
94.7,-1.19548,1199.06
94.8,-1.19463,1200.37
94.9,-1.19369,1201.41
95,-1.19292,1202.74
95.1,-1.1919,1203.96
95.2,-1.19104,1205.33
95.3,-1.1901,1206.60
95.4,-1.18916,1207.89
95.5,-1.18831,1209.19
95.6,-1.18737,1210.40
95.7,-1.18652,1211.58
95.8,-1.18558,1212.78
95.9,-1.18464,1214.04
96,-1.1837,1215.31
96.1,-1.18285,1216.65
96.2,-1.18182,1217.90
96.3,-1.18088,1219.24
96.4,-1.17994,1220.54
96.5,-1.17901,1221.70
96.6,-1.17807,1222.94
96.7,-1.17713,1224.12
96.8,-1.17627,1225.37
96.9,-1.17525,1226.57
97,-1.17431,1227.92
97.1,-1.17328,1229.26
97.2,-1.17235,1230.56
97.3,-1.17132,1231.82
